'sound$','word$','test$','tran$','timeLab','f1','f2','f3',f3f2
RealWordRep_015L42MS3,red,Test15,$w,404.9873174,588.7379961,2728.841725,3390.163048,661.3213233
RealWordRep_015L42MS3,raisins,Test19,$w,425.4611872,851.8948258,2025.008081,3693.097806,1668.089725
RealWordRep_015L42MS3,rain,Test23,$w,475.64004,1034.873302,2747.972561,3901.669031,1153.69647
RealWordRep_015L42MS3,watch,Test26,w,491.1903811,911.5947633,1767.481107,3550.803199,1783.322091
RealWordRep_015L42MS3,water,Test32,w,523.2014022,945.0678041,2486.363846,3773.820387,1287.456541
RealWordRep_015L42MS3,running,Test34,$w:r,545.2758965,1059.381832,2151.76104,3226.754355,1074.993315
RealWordRep_015L42MS3,reading,Test36,$w,583.7365648,1464.461785,2929.53141,4347.364543,1417.833133
RealWordRep_015L42MS3,rocking,Test47,$w,668.0432656,728.3220706,2299.599973,3550.583486,1250.983513
RealWordRep_015L42MS3,window,Test57,w,782.6761099,825.53389,2220.194008,3774.888077,1554.694069
RealWordRep_015L42MS3,walk,Test58,w,786.2454866,1094.567988,2004.302702,3195.050232,1190.74753
RealWordRep_015L42MS3,wind,Test59,w,790.3459844,1282.57787,3214.636006,4664.766515,1450.13051
RealWordRep_015L42MS3,ring,Test61,$w,874.9081745,437.3053959,1881.088914,3290.747154,1409.65824
RealWordRep_015L42MS3,washer,Test72,w,1290.727618,882.8804736,1883.285086,3512.794384,1629.509298
RealWordRep_015L42MS3,waiting,Test73,w,1318.715498,890.9890435,2284.91613,4324.748086,2039.831956
RealWordRep_015L42MS3,wheel,Test74,w,1323.043324,686.1467532,2168.398378,3356.747483,1188.349105
RealWordRep_015L42MS3,red,Test75,$w,1326.49994,832.7890981,2341.52715,3474.682654,1133.155504
RealWordRep_015L42MS3,wet,Test80,w,1357.19694,1572.488105,3174.888181,4416.128257,1241.240076
RealWordRep_015L42MS3,rabbit,Test86,$w,1454.920121,798.5231483,2609.864748,4218.861343,1608.996595
RealWordRep_015L42MS3,web,Test87,w,1459.443862,535.2096845,2100.513729,3672.229661,1571.715932
RealWordRep_015L42MS3,rock,Test89,$w,1480.605009,550.5519338,2349.113066,3450.240676,1101.127609
RealWordRep_018L46MS4,web,Test1,w,237.4106674,416.9111106,2180.512493,3612.834615,1432.322121
