sound,word,test,ChildWordKey,tran,timeLab,f1,f2,f3,f3f2,ChildID
RealWordRep_007L44FS3,wheel,Test54,007L44FS3Test54wheel,w,462.1644369,448.1842014,2257.410227,3927.836645,1670.426418,C007
RealWordRep_007L44FS3,running,Test55,007L44FS3Test55running,$w,468.7068863,689.714992,2282.707553,3443.168999,1160.461446,C007
RealWordRep_007L44FS3,window,Test58,007L44FS3Test58window,w,480.5375875,363.2188442,1596.925934,3454.387873,1857.461939,C007
RealWordRep_007L44FS3,waiting,Test60,007L44FS3Test60waiting,w,488.2945156,442.4120486,1950.943388,3726.523499,1775.580111,C007
RealWordRep_007L44FS3,raisins,Test66,007L44FS3Test66raisins,$w,517.0720465,500.4647626,1805.141692,3719.981949,1914.840257,C007
RealWordRep_007L44FS3,rocking,Test74,007L44FS3Test74rocking,$w,588.9857931,616.6127126,2591.58991,4170.535727,1578.945816,C007
RealWordRep_007L44FS3,wet,Test78,007L44FS3Test78wet,w,604.7921792,1348.829808,3224.512851,3932.505481,707.9926296,C007
RealWordRep_007L44FS3,rabbit,Test80,007L44FS3Test80rabbit,$w:r,612.5152914,791.9110328,1734.514854,3261.230304,1526.71545,C007
RealWordRep_007L44FS3,rock,Test82,007L44FS3Test82rock,$w,619.3924422,278.6472641,2161.763028,3060.28976,898.5267326,C007
RealWordRep_007L44FS3,web,Test84,007L44FS3Test84web,w:$r,626.6502708,1355.889175,2416.835684,3203.349429,786.5137458,C007
RealWordRep_007L44FS3,red,Test88,007L44FS3Test88red,$w:r,641.1115013,1759.095254,3505.850553,4730.808935,1224.958383,C007
RealWordRep_008L42MS3,rabbit,Test1,008L42MS3Test1rabbit,$w,367.6766784,1038.797576,1497.792941,3541.96806,2044.175119,C008
RealWordRep_008L42MS3,wet,Test2,008L42MS3Test2wet,w,372.3741943,806.5035777,1644.798255,3942.565908,2297.767653,C008
RealWordRep_008L42MS3,web,Test4,008L42MS3Test4web,TranscribeMe!,383.6428355,1095.432611,3033.251407,3779.212088,745.9606809,C008
RealWordRep_008L42MS3,rock,Test11,008L42MS3Test11rock,$w,472.2705627,1079.016635,1995.250023,3431.697095,1436.447071,C008
RealWordRep_008L42MS3,red,Test16,008L42MS3Test16red,$w,531.3899196,1080.433121,2504.494007,3713.030667,1208.53666,C008
RealWordRep_008L42MS3,water,Test17,008L42MS3Test17water,w,536.92507,1187.224705,2769.233077,3598.062199,828.8291219,C008
RealWordRep_008L42MS3,window,Test23,008L42MS3Test23window,$other,569.0699705,978.9656381,2346.506749,3757.241881,1410.735132,C008
RealWordRep_008L42MS3,waiting,Test29,008L42MS3Test29waiting,w,603.2342364,1032.872756,2164.524551,4065.583508,1901.058957,C008
RealWordRep_008L42MS3,washer,Test32,008L42MS3Test32washer,w,622.8222031,1148.824821,2710.143599,4271.315889,1561.17229,C008
RealWordRep_008L42MS3,watch,Test37,008L42MS3Test37watch,w,704.6662883,1886.095707,2924.284422,4551.847734,1627.563312,C008
RealWordRep_008L42MS3,wind,Test42,008L42MS3Test42wind,w,735.4417312,771.7631451,2156.060893,3787.199684,1631.138791,C008
RealWordRep_008L42MS3,reading,Test43,008L42MS3Test43reading,r:$w,739.6483892,1330.75578,2074.029695,4024.016119,1949.986425,C008
RealWordRep_008L42MS3,rain,Test58,008L42MS3Test58rain,$w,830.3919691,1170.34704,2730.94131,4040.238276,1309.296966,C008
RealWordRep_008L42MS3,rocking,Test61,008L42MS3Test61rocking,$w,841.0467964,740.9712634,2260.663263,3343.122681,1082.459419,C008
RealWordRep_008L42MS3,running,Test63,008L42MS3Test63running,$w,850.7917185,1242.040051,2705.762864,4141.761748,1435.998884,C008
RealWordRep_008L42MS3,wheel,Test68,008L42MS3Test68wheel,w,868.0684076,908.373546,2086.449395,3674.320582,1587.871186,C008
RealWordRep_008L42MS3,walk,Test69,008L42MS3Test69walk,w,871.3590975,843.9259854,2521.097006,3434.178329,913.0813237,C008
RealWordRep_008L42MS3,ring,Test71,008L42MS3Test71ring,$w,935.2312801,871.7208948,1798.611265,3257.143934,1458.532669,C008
RealWordRep_008L42MS3,raisins,Test72,008L42MS3Test72raisins,$w,938.9350654,673.8802644,1640.276683,3568.726143,1928.449459,C008
RealWordRep_008L42MS3,rabbit,Test77,008L42MS3Test77rabbit,$w,955.5858157,995.2541292,2634.373874,3989.466257,1355.092383,C008
RealWordRep_008L42MS3,web,Test86,008L42MS3Test86web,w,992.2395847,793.8037845,2550.976466,3657.431709,1106.455243,C008
RealWordRep_008L42MS3,rock,Test87,008L42MS3Test87rock,$w,994.7918064,935.6997237,2869.434288,4374.407594,1504.973305,C008
RealWordRep_008L42MS3,red,Test88,008L42MS3Test88red,$w,997.9452367,343.852846,2127.347418,3212.947652,1085.600234,C008
RealWordRep_008L42MS3,wet,Test89,008L42MS3Test89wet,w,1000.929583,487.0116706,2103.338413,3090.54517,987.206757,C008
RealWordRep_010L44MS3,rabbit,Test2,010L44MS3Test2rabbit,$w:r,141.7351034,529.558795,1333.150425,3500.986268,2167.835842,C010
RealWordRep_010L44MS3,red,Test3,010L44MS3Test3red,$w,145.4823937,755.0687122,1358.548914,3634.73398,2276.185066,C010
